지역,외식,관광쇼핑,숙박,레저스포츠,목욕,문화,사진촬영,체험,교통,종교활동
강원 강릉시,8614112.0,72454.0,579380.0,86405.0,19374.0,72766.0,34594.0,122190.0,2574.0,680.0
강원 고성군,1387174.0,12804.0,369553.0,94698.0,1087.0,10416.0,1006.0,1831.0,0.0,3922.0
강원 동해시,1391788.0,2496.0,87566.0,28993.0,6321.0,57621.0,1150.0,555.0,1509.0,2614.0
강원 삼척시,1366367.0,5299.0,296038.0,32846.0,2228.0,7060.0,2617.0,7973.0,225.0,0.0
강원 속초시,6247107.0,17640.0,583706.0,47395.0,9855.0,41482.0,5853.0,37008.0,165924.0,206439.0
강원 양구군,300799.0,10.0,9739.0,3505.0,926.0,4334.0,230.0,2541.0,90.0,0.0
강원 양양군,1987056.0,77328.0,340402.0,128051.0,15715.0,676.0,240.0,18496.0,28266.0,34327.0
강원 영월군,769456.0,2879.0,64258.0,26098.0,3693.0,25964.0,190.0,10981.0,145.0,2887.0
강원 원주시,6364991.0,95.0,111336.0,292918.0,15701.0,190526.0,25827.0,21821.0,1266.0,33130.0
강원 인제군,1861626.0,2485.0,31282.0,9390.0,6186.0,983.0,201.0,2405.0,71479.0,35.0
강원 정선군,704020.0,5280.0,269659.0,99037.0,1270.0,1108.0,4970.0,87019.0,36.0,0.0
강원 철원군,849350.0,59480.0,24282.0,44303.0,1324.0,6431.0,435.0,24566.0,2933.0,52.0
강원 춘천시,5915262.0,28369.0,201670.0,570558.0,20678.0,60731.0,37147.0,111210.0,20146.0,582.0
강원 태백시,421355.0,0.0,18455.0,29262.0,6496.0,2165.0,365.0,1072.0,100.0,591.0
강원 평창군,1905116.0,14843.0,1199810.0,147407.0,1713.0,865.0,586.0,259605.0,75.0,179248.0
강원 홍천군,3005842.0,6559.0,1329475.0,397945.0,3119.0,1555.0,1677.0,13215.0,220.0,6192.0
강원 화천군,479649.0,0.0,10504.0,9889.0,783.0,3298.0,537.0,25.0,55.0,0.0
강원 횡성군,903642.0,25.0,181645.0,189188.0,1381.0,12241.0,120.0,24491.0,45.0,0.0
경기 가평군,4416464.0,5795.0,293829.0,324592.0,8394.0,52648.0,1000.0,40580.0,699.0,426.0
경기 고양시,15787916.0,15092.0,121810.0,717639.0,62197.0,213576.0,29769.0,95891.0,3297.0,7226.0
경기 과천시,2467023.0,6893.0,596.0,20670.0,1378.0,5304.0,708.0,513667.0,104958.0,0.0
경기 광명시,5296573.0,245.0,52301.0,99629.0,9751.0,49125.0,8947.0,18444.0,170.0,487.0
경기 광주시,4213578.0,2425.0,36673.0,398861.0,9614.0,11925.0,6427.0,5563.0,120.0,697.0
경기 구리시,2984337.0,0.0,43416.0,98137.0,5014.0,24697.0,9812.0,1106.0,120.0,850.0
경기 군포시,1720748.0,25.0,20614.0,28501.0,6106.0,19511.0,1820.0,1302.0,110.0,95.0
경기 김포시,7831650.0,550.0,70989.0,189737.0,39943.0,70260.0,24557.0,41764.0,2482.0,166.0
경기 남양주시,8620570.0,1264.0,80306.0,305766.0,26570.0,63471.0,6644.0,71901.0,111.0,23255.0
경기 동두천시,646497.0,50.0,12486.0,24096.0,4734.0,4147.0,1762.0,2511.0,65.0,5685.0
경기 부천시,13648314.0,695.0,116282.0,232681.0,36982.0,256604.0,42506.0,115913.0,2940.0,3213.0
경기 성남시,15926040.0,290.0,174982.0,316729.0,37234.0,191702.0,32204.0,18013.0,8580310.0,2554.0
경기 수원시,10136664.0,8353.0,160918.0,163964.0,22686.0,149332.0,42989.0,23953.0,3804.0,1387.0
경기 시흥시,6676018.0,4185.0,88461.0,217162.0,17766.0,38814.0,8597.0,14517.0,820.0,1123.0
경기 안산시,6061582.0,891.0,99570.0,163305.0,7220.0,63291.0,18868.0,12750.0,1771.0,1322.0
경기 안성시,3568105.0,17079.0,35956.0,321479.0,7323.0,14490.0,7393.0,38095.0,255.0,2539.0
경기 안양시,6055062.0,373.0,74874.0,111766.0,17358.0,72687.0,20423.0,2943.0,207358.0,4732.0
경기 양주시,2671856.0,146.0,34785.0,165946.0,17414.0,58734.0,1643.0,96564.0,70.0,1866.0
경기 양평군,3438942.0,155.0,105409.0,81454.0,6494.0,13526.0,486.0,90333.0,105.0,15365.0
경기 여주시,1836394.0,3025.0,37045.0,583983.0,5254.0,32064.0,1158.0,25086.0,1078.0,2141.0
경기 연천군,484020.0,0.0,11691.0,37756.0,2138.0,1636.0,220.0,7508.0,0.0,650.0
경기 오산시,1866348.0,505.0,40367.0,25765.0,3231.0,11719.0,2202.0,2802.0,195.0,65.0
경기 용인시,10443842.0,12873.0,131054.0,790516.0,25206.0,2666711.0,23889.0,287687.0,420.0,2328.0
경기 의왕시,1622572.0,60.0,16929.0,13550.0,1162.0,3578.0,664.0,225.0,25.0,90.0
경기 의정부시,5137842.0,1423.0,61753.0,106103.0,17764.0,79099.0,17491.0,34943.0,588.0,1416.0
경기 이천시,5021543.0,7684.0,64953.0,464582.0,5448.0,7595.0,6181.0,86364.0,125.0,675.0
경기 파주시,5766248.0,4876.0,67606.0,353360.0,19351.0,774070.0,10230.0,185652.0,351.0,725.0
경기 평택시,6947276.0,1833.0,113768.0,142434.0,13860.0,59137.0,14163.0,6019.0,866.0,555.0
경기 포천시,2441863.0,13666.0,120081.0,460390.0,3381.0,20854.0,681.0,55175.0,50.0,181.0
경기 하남시,5978126.0,328.0,26248.0,523124.0,23947.0,100911.0,8379.0,11161.0,30.0,1964.0
