관광지명,지역명,중분류,소분류
‘바다여행의 종합 세트’ 사천으로 가자,None,힐링코스,힐링코스
‘이열치열’ 하러 대구로 떠나자!,None,,
‘직지’의 고장이자 쉼과 여유의 휴양지,None,가족코스,가족코스
‘충혼’의 수양벚꽃 마중하는 호젓한 꽃길,None,도보코스,도보코스
"“동굴아, 여름을 부탁해”...그늘 찾아 떠나는 삼척여행",None,힐링코스,힐링코스
“해금강이 전부인 줄 알았지?”...거제에서 배우는 역사,None,가족코스,가족코스
《MMCA 이건희컬렉션 특별전: 한국미술명작》,서울특별시 종로구,공연/행사,전시회
㈜강원심층수,강원도 고성군,산업관광지,식음료
㈜블랙스톤리조트 양평지점 더 힐하우스(힐하우스),경기도 양평군,숙박시설,관광호텔
㈜피에프비파트너스 마린칸토,서울특별시 용산구,음식점,일식
샾모텔,충청남도 태안군,숙박시설,모텔
똠팔이,경기도 이천시,음식점,아시아식
가가상점,충청남도 공주시,쇼핑,전문상가
가가와,부산광역시 부산진구,음식점,일식
가가책방,충청남도 공주시,쇼핑,전문상가
가가펜션,경기도 양평군,숙박시설,펜션
가거도(소흑산도),전라남도 신안군,자연관광지,섬
가경 터미널시장,충청북도 청주시,쇼핑,상설시장
가경식당,충청남도 부여군,음식점,한식
가경재 [한국관광 품질인증/Korea Quality],경상북도 안동시,숙박시설,한옥스테이
가계해변,전라남도 진도군,자연관광지,해수욕장
가고파 꼬부랑길 벽화마을,경상남도 창원시,체험관광지,이색거리
가고파부치기,강원도 평창군,음식점,한식
가고파식당,경상남도 통영시,음식점,한식
가고파캠핑장,경상남도 산청군,육상 레포츠,"야영장,오토캠핑장"
가나샤브샤브,대전광역시 유성구,음식점,한식
가나아트센터,서울특별시 종로구,문화시설,미술관/화랑
가나아트파크,경기도 양주시,휴양관광지,테마공원
가나안덕하남점 (가나안 덕(DUCK)),경기도 하남시,음식점,한식
가나안식당,전라북도 남원시,음식점,한식
가남지,대전광역시 유성구,음식점,아시아식
가남체육공원,경기도 여주시,휴양관광지,테마공원
가덕도,부산광역시 강서구,자연관광지,섬
가덕도 등대,부산광역시 강서구,자연관광지,등대
가덕도 연대봉,부산광역시 강서구,자연관광지,산
가덕도대항인공동굴,부산광역시 강서구,자연관광지,동굴
가덕도횟집,인천광역시 중구,음식점,한식
가덕산,경기 가평군,자연관광지,산
가덕해양파크휴게소,부산광역시 강서구,건축/조형물,기념탑/기념비/전망대
가도 가도 또 가고 싶은 여행지의 스테디셀러,None,가족코스,가족코스
가든갤러리,경기도 남양주시,음식점,서양식
가든이천공원,경기도 이천시,음식점,한식
가든파이브라이프(Garden5life),서울특별시 송파구,쇼핑,전문상가
가라산,경상남도 거제시,자연관광지,산
가락골마산아구찜,서울특별시 송파구,음식점,한식
가락공방,충청북도 청주시,체험관광지,이색체험
가락관광호텔,서울특별시 송파구,숙박시설,관광호텔
가락동농수산물도매시장,서울특별시 송파구,쇼핑,전문상가
가락몰,서울특별시 송파구,쇼핑,전문상가
가락수산시장,서울특별시 송파구,쇼핑,전문상가
가락시장(가락농수산물 도매시장),서울특별시 송파구,쇼핑,상설시장
가락청,전라북도 전주시,숙박시설,한옥스테이
가람,충청북도 제천시,음식점,한식
가람,경기도 광주시,음식점,서양식
가람관광농원,경상남도 합천군,육상 레포츠,"야영장,오토캠핑장"
가람나무,경기도 파주시,숙박시설,한옥스테이
가람돌솥밥,제주특별자치도 서귀포시,음식점,한식
가람리조트,강원도 홍천군,육상 레포츠,"야영장,오토캠핑장"
가람복집,전라남도 여수시,음식점,한식
가람초연재[한국관광 품질인증/Korea Quality],경상북도 안동시,숙박시설,한옥스테이
가람화랑,서울특별시 종로구,문화시설,미술관/화랑
가랑드,전라남도 곡성군,음식점,바/까페
가래골 농원캠핑장2,경기도 포천시,육상 레포츠,"야영장,오토캠핑장"
가래골캠핑장,경기도 포천시,육상 레포츠,"야영장,오토캠핑장"
가래비시장(가납시장),경기도 양주시,쇼핑,상설시장
가래실 문화마을,경상북도 영천시,역사관광지,민속마을
가래울 해장국,경기도 여주시,음식점,한식
가력도항,전라북도 부안군,자연관광지,항구/포구
가령폭포,강원 홍천군,자연관광지,폭포
가로림글램핑,충청남도 서산시,육상 레포츠,"야영장,오토캠핑장"
가루매마을,경기도 양평군,체험관광지,농.산.어촌 체험
가루실가든,충청남도 예산군,음식점,한식
가루실캠핑장,충청남도 예산군,육상 레포츠,"야영장,오토캠핑장"
가름게스트하우스,제주특별자치도 서귀포시,숙박시설,펜션
