지역명,관광쇼핑 매출,관광쇼핑 결제 수,교통 매출,교통 결제 수,레저스포츠 매출,레저스포츠 결제 수,목욕 매출,목욕 결제 수,문화 매출,문화 결제 수,사진촬영 매출,사진촬영 결제 수,숙박 매출,숙박 결제 수,외식 매출,외식 결제 수,운동경기관람 매출,운동경기관람 결제 수,종교활동 매출,종교활동 결제 수,체험 매출,체험 결제 수
강원 강릉시,7308079226,321242,2966814140,25588,33680222431,375255,3909834272,233185,9416128756,446706,2419677715,117387,1.80E+11,2318248,1.02E+12,36127014,42362339,1712,778547381,2714,10214155550,383439
강원 고성군,1215604059,53833,3619390,43,65046593884,331334,151076826,10294,1013707786,40664,74452430,2717,1.10E+11,1459165,1.56E+11,4796260,NA,NA,2234229255,11319,145848270,3345
강원 동해시,169786486,13292,752550940,12134,4580110949,125019,1091935041,48368,2245185504,202983,356141903,5419,25667227939,377851,1.55E+11,5842080,NA,NA,330440452,8763,337064655,5209
강원 삼척시,600022218,28318,114957260,1040,14282498318,123017,706584859,31893,1282216421,48117,488719689,28880,1.12E+11,1363673,1.82E+11,5464647,NA,NA,NA,NA,708487165,26389
강원 속초시,1955198935,69283,25518690495,718046,8218239464,204095,1877657559,105649,3469258830,144644,243826518,14091,2.34E+11,2907525,8.41E+11,24508876,NA,NA,9739294541,549404,1740468191,107298
강원 양구군,2749350,34,28880418,256,666366674,29990,83461340,6487,1053078544,27613,33852504,1758,4070421758,44435,42433686086,1718068,NA,NA,NA,NA,238080147,11481
강원 양양군,5745727967,303826,8611196217,70977,9882169652,367514,1688493206,40585,129354758,11508,208748122,1134,1.02E+11,1433307,2.31E+11,6644366,NA,NA,12280800139,552600,1789016983,73601
강원 영월군,166673322,6663,52975030,710,3335255208,56983,330781899,27862,1402175600,70819,23699584,804,13520459106,204746,71709732189,2921580,NA,NA,466989163,11928,1183775055,30400
강원 원주시,192958534,623,2136159331,5599,1.09E+11,1213616,3217353082,192606,23104865037,892472,3614293918,62406,34355961012,526493,5.82E+11,30028798,NA,NA,8783308538,104415,2233139159,84894
강원 인제군,124318989,6303,2360503032,245597,1282181030,49750,810168916,39267,135193435,9809,31391595,1183,8286468416,135816,1.36E+11,8635172,NA,NA,70379560,83,643319724,8726
강원 정선군,518197929,21046,22434549,167,35922369846,551458,345907394,22731,60428886,5293,209038464,14474,1.37E+11,1543098,1.05E+11,3455409,NA,NA,9304200,230,28685643650,594534
강원 철원군,579594225,143066,107328880,5561,31569621044,190635,144408564,11692,1036906495,60939,128039995,3046,6539847736,127495,1.00E+11,3947535,NA,NA,147965300,77,2321867930,95443
강원 춘천시,3725827190,209162,2346356862,83520,2.94E+11,2209138,2489228991,192007,8496062465,422784,2069278382,119824,63686665620,1059587,6.66E+11,28540079,NA,NA,1351936092,2447,10112406439,455975
강원 태백시,1137510,24,174671912,1598,17002333327,122251,682172034,44369,290535514,8045,106643609,4969,5945125774,77664,65600407827,1827291,NA,NA,558383306,2972,57149844,2988
강원 평창군,1321967736,51305,106608780,638,35708836894,551936,328986100,14008,275772359,15668,38803154,1837,3.05E+11,4988747,2.43E+11,7499974,NA,NA,11882077337,634264,18948074538,1074480
강원 홍천군,169395220,7343,82277930,667,2.80E+11,2962064,470055795,23517,357902694,16788,171505961,7063,3.28E+11,5902084,2.43E+11,13446350,NA,NA,2388938862,16920,795470555,39626
강원 화천군,776840,31,78814339,26726,1015274582,45845,123230552,10092,567067939,47930,63075630,3995,3709516943,52063,64178052590,2767252,NA,NA,11385000,30,44938933,1600
강원 횡성군,3846510,66,22632180,119,1.14E+11,810224,247590940,12160,153896961,23432,24612079,767,48018282180,978564,1.14E+11,3330798,NA,NA,1742300,16,1740988343,39230
경기 가평군,416537170,22815,82831197,1416,1.85E+11,1279684,752358949,57287,4400992769,109026,237133907,5047,53499218621,1043384,3.44E+11,17763029,NA,NA,1662201325,2368,2688768542,115867
경기 고양시,988403759,25072,3447039784,13667,1.52E+11,2890240,11142537450,683043,31635155778,1306968,9353326588,104376,42748073472,662919,1.58E+12,70443001,17210884,152,23466171570,33407,13082463125,437581
경기 과천시,203272040,13164,6731179327,399992,2452960797,143986,114664234,10001,552322970,21526,135318019,4105,219456420,4306,1.73E+11,10223678,NA,NA,NA,NA,24337166255,1117751
경기 광명시,39827837,696,450085982,772,14769357677,513745,2170014135,183611,8582946631,288327,2954876165,35162,15417853491,300637,5.11E+11,23495483,NA,NA,1079426488,2039,3898599168,71091
경기 광주시,406608375,7765,509425020,10068,1.92E+11,1970691,2218881727,122207,5120887059,94414,3044019177,18689,8472164117,166202,4.01E+11,18509542,NA,NA,4235284773,4132,3232207737,19671
경기 구리시,NA,NA,143241941,480,14715055830,437437,614811557,54365,9079762926,199924,1869506112,30871,12603826604,259373,3.10E+11,14163200,NA,NA,977298623,3590,638706409,4260
경기 군포시,55298990,212,88429070,160,10537593774,168935,1124624818,82004,2529551456,96009,507525537,9416,5345640721,116652,1.56E+11,8151657,NA,NA,253999000,677,1173282928,7333
경기 김포시,777243702,3049,1525059036,6616,46847227565,807756,7256870585,481956,8303081125,296313,1725628050,61901,22346016897,411248,7.01E+11,31695912,NA,NA,1351661911,1161,3785708006,96095
경기 남양주시,320545419,2366,248280972,363,1.06E+11,1315270,3732921265,289873,9789872653,299575,2160582896,36773,18375247063,356653,8.91E+11,35642213,NA,NA,5952398502,89330,8780630011,247420
경기 동두천시,152935006,114,54111190,358,11818200313,121476,1236537271,86223,669205487,27979,246932098,4782,3704277531,65699,71478202798,3038790,NA,NA,652855970,12925,468231127,9521
경기 부천시,144291640,2885,4056826295,46835,30009075199,1219443,6746248189,437446,34324877690,1792283,11503081223,135952,30540810094,689074,1.33E+12,66067827,NA,NA,9685599196,14218,24331146296,576687
경기 성남시,241071483,2046,3.31E+11,32110405,61869004783,1480906,4570979275,387078,63910384772,1471841,7486404626,131648,64389409116,818328,1.49E+12,77094152,5977549,225,3123802048,13006,5532594737,65604
경기 수원시,671291173,22537,5183616077,63272,37517599732,913388,4515377903,387670,17835629505,849440,5601913391,131012,57255872365,865674,1.01E+12,51347642,379135,153,4734057270,8486,5855967337,70531
경기 시흥시,338257129,12447,239237381,1495,48431823670,779096,1666592407,135840,5355807608,245880,690992255,26819,23499402235,456598,6.23E+11,28444428,NA,NA,2010326549,3301,2226921771,38824
경기 안산시,117973207,3830,1682865316,14864,55820534856,693206,1413754680,107886,8207526092,479132,1900453170,62511,25990188259,501129,5.67E+11,29872017,NA,NA,3200096820,6764,1513597716,40533
경기 안성시,2941807481,47686,365323489,1200,1.56E+11,1182512,1224906273,72331,1799242408,86732,435040051,20093,8491580626,144782,2.78E+11,17260306,NA,NA,2193176677,10092,3855806204,149095
경기 안양시,204143466,2418,3.40E+11,708022,15505397391,564486,2888431734,221470,13418590909,550631,2606393779,57937,22069144374,427132,6.08E+11,29680688,NA,NA,3792440411,22288,1089236587,17324
경기 양주시,70743980,662,127883060,562,57751271478,583975,4460694651,196273,5059793528,224747,395296984,5801,7413577719,158891,2.78E+11,10465799,125319800,91,7757822672,3807,6042898746,202881
경기 양평군,64722465,902,161074217,373,41006794525,300290,1175946418,65204,1214123775,56186,104827927,2977,28228657429,495521,3.16E+11,14502768,37690010,88,1355178759,50329,7667038539,371203
경기 여주시,1864053926,14726,1173213316,4982,3.75E+11,2225205,336973683,22686,1633184629,94816,143380316,3748,11217931082,189145,1.72E+11,7657611,NA,NA,645633298,9948,4764741820,68460
경기 연천군,NA,NA,5488520,43,22240167447,140330,304098529,20914,159587649,8802,44116209,1625,5837768811,52792,52864378795,2201573,NA,NA,2237780647,1917,379882575,22193
