"지역명","cluster"
"강원 강릉시",5
"강원 고성군",6
"강원 동해시",6
"강원 삼척시",10
"강원 속초시",2
"강원 양구군",6
"강원 양양군",3
"강원 영월군",3
"강원 원주시",2
"강원 인제군",3
"강원 정선군",3
"강원 철원군",10
"강원 춘천시",2
"강원 태백시",6
"강원 평창군",5
"강원 홍천군",3
"강원 화천군",6
"강원 횡성군",3
"경기 가평군",3
"경기 고양시",9
"경기 과천시",8
"경기 광명시",8
"경기 광주시",9
"경기 구리시",8
"경기 군포시",8
"경기 김포시",9
"경기 남양주시",9
"경기 동두천시",8
"경기 부천시",1
"경기 성남시",9
"경기 수원시",7
"경기 시흥시",9
"경기 안산시",9
"경기 안성시",10
"경기 안양시",1
"경기 양주시",9
"경기 양평군",3
"경기 여주시",9
"경기 연천군",6
"경기 오산시",8
"경기 용인시",2
"경기 의왕시",8
"경기 의정부시",8
"경기 이천시",9
"경기 파주시",2
"경기 평택시",9
"경기 포천시",3
"경기 하남시",8
"경기 화성시",2
"경남 거제시",2
"경남 거창군",10
"경남 고성군",6
"경남 김해시",10
"경남 남해군",10
"경남 밀양시",10
"경남 사천시",6
"경남 산청군",10
"경남 양산시",6
"경남 의령군",4
"경남 진주시",10
"경남 창녕군",4
"경남 창원시",2
"경남 통영시",5
"경남 하동군",10
"경남 함안군",4
"경남 함양군",6
"경남 합천군",10
"경북 경산시",4
"경북 경주시",2
"경북 고령군",4
"경북 구미시",6
"경북 군위군",4
"경북 김천시",4
"경북 문경시",6
"경북 봉화군",6
"경북 상주시",4
"경북 성주군",4
"경북 안동시",2
"경북 영덕군",6
"경북 영양군",8
"경북 영주시",10
"경북 영천시",4
"경북 예천군",4
"경북 울릉군",8
"경북 울진군",6
"경북 의성군",4
"경북 청도군",4
"경북 청송군",4
"경북 칠곡군",4
"경북 포항시",2
"광주 광산구",4
"광주 남구",4
"광주 동구",1
"광주 북구",6
"광주 서구",1
"대구 남구",1
"대구 달서구",1
"대구 달성군",4
"대구 동구",10
"대구 북구",1
"대구 서구",8
"대구 수성구",1
"대구 중구",1
"대전 대덕구",4
"대전 동구",1
"대전 서구",1
"대전 유성구",9
"대전 중구",1
"부산 강서구",8
"부산 금정구",1
"부산 기장군",9
"부산 남구",8
"부산 동구",1
"부산 동래구",8
"부산 부산진구",1
"부산 북구",8
"부산 사상구",8
"부산 사하구",8
"부산 서구",8
"부산 수영구",1
"부산 연제구",8
"부산 영도구",8
"부산 중구",1
"부산 해운대구",7
"서울 강남구",7
"서울 강동구",8
"서울 강북구",8
"서울 강서구",1
"서울 관악구",1
"서울 광진구",1
"서울 구로구",1
"서울 금천구",8
"서울 노원구",8
"서울 도봉구",8
"서울 동대문구",1
"서울 동작구",8
"서울 마포구",7
"서울 서대문구",1
"서울 서초구",7
"서울 성동구",1
"서울 성북구",4
"서울 송파구",7
"서울 양천구",8
"서울 영등포구",9
"서울 용산구",7
"서울 은평구",8
"서울 종로구",7
"서울 중구",7
"서울 중랑구",8
"세종 .",9
"울산 남구",1
"울산 동구",8
"울산 북구",8
"울산 울주군",10
"울산 중구",1
"인천 강화군",2
"인천 계양구",8
"인천 남동구",1
"인천 동구",8
"인천 미추홀구",1
"인천 부평구",1
"인천 서구",1
"인천 연수구",9
"인천 옹진군",6
"인천 중구",2
"전남 강진군",10
"전남 고흥군",6
"전남 곡성군",6
"전남 광양시",6
"전남 구례군",10
"전남 나주시",4
"전남 담양군",6
"전남 목포시",7
"전남 무안군",6
"전남 보성군",6
"전남 순천시",10
"전남 신안군",6
"전남 여수시",2
"전남 영광군",6
"전남 영암군",4
"전남 완도군",6
"전남 장성군",4
"전남 장흥군",6
"전남 진도군",6
"전남 함평군",4
"전남 해남군",6
"전남 화순군",4
"전북 고창군",10
"전북 군산시",2
"전북 김제시",4
"전북 남원시",10
"전북 무주군",3
"전북 부안군",10
"전북 순창군",4
"전북 완주군",10
"전북 익산시",10
"전북 임실군",4
"전북 장수군",4
"전북 전주시",7
"전북 정읍시",4
"전북 진안군",6
"제주 서귀포시",5
"제주 제주시",5
"충남 계룡시",8
"충남 공주시",10
"충남 금산군",4
"충남 논산시",4
"충남 당진시",6
"충남 보령시",6
"충남 부여군",10
"충남 서산시",6
"충남 서천군",6
"충남 아산시",10
"충남 예산군",4
"충남 천안시",9
"충남 청양군",6
"충남 태안군",3
"충남 홍성군",6
"충북 괴산군",10
"충북 단양군",6
"충북 보은군",6
"충북 영동군",4
"충북 옥천군",4
"충북 음성군",4
"충북 제천시",2
"충북 증평군",8
"충북 진천군",4
"충북 청주시",2
"충북 충주시",2
